County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
DuPage,Illinois,57,3,0,0.0000000,41.8519405,-88.0856113,2020-03-21 00:57 EDT
Lake,Illinois,53,16,0,0.0000000,42.3232765,-88.0035345,2020-03-21 00:57 EDT
Will,Illinois,10,1,1,0.1000000,41.4450565,-87.9786523,2020-03-21 00:57 EDT
Kane,Illinois,8,2,0,0.0000000,41.9388756,-88.4286393,2020-03-21 00:57 EDT
McHenry,Illinois,8,2,0,0.0000000,42.3262100,-88.2673100,2020-03-21 00:57 EDT
Sangamon,Illinois,4,0,1,0.2500000,39.7581579,-89.6588874,2020-03-21 00:57 EDT
McLean,Illinois,4,4,0,0.0000000,40.4908761,-88.8473152,2020-03-21 00:57 EDT
St. Clair,Illinois,3,0,0,0.0000000,38.4699647,-89.9274997,2020-03-21 00:57 EDT
Clinton,Illinois,3,0,0,0.0000000,40.1536000,-88.9645000,2020-03-21 00:57 EDT
Peoria,Illinois,3,0,0,0.0000000,40.6923600,-89.5879900,2020-03-21 00:57 EDT
Woodford,Illinois,2,0,0,0.0000000,40.8443700,-89.0278100,2020-03-21 00:57 EDT
Winnebago,Illinois,2,1,0,0.0000000,42.2656800,-89.2413900,2020-03-21 00:57 EDT
Kendall,Illinois,2,1,0,0.0000000,41.5905879,-88.4288057,2020-03-21 00:57 EDT
Cumberland,Illinois,1,0,0,0.0000000,39.2733283,-88.2401682,2020-03-21 00:57 EDT
Champaign,Illinois,1,0,0,0.0000000,40.1142000,-88.2435000,2020-03-21 00:57 EDT
Whiteside,Illinois,1,0,0,0.0000000,41.7553349,-89.9123168,2020-03-21 00:57 EDT
Madison,Illinois,1,0,0,0.0000000,38.8300622,-89.9017802,2020-03-21 00:57 EDT
Jackson,Illinois,1,0,0,0.0000000,37.7854950,-89.3810388,2020-03-21 00:57 EDT
Williamson,Illinois,1,0,0,0.0000000,37.7301681,-88.9299091,2020-03-21 00:57 EDT
Kankakee,Illinois,1,0,0,0.0000000,41.1377142,-87.8618176,2020-03-21 00:57 EDT
LaSalle,Illinois,1,0,0,0.0000000,41.3440074,-88.8859464,2020-03-21 00:57 EDT
Washington,Illinois,1,0,0,0.0000000,38.3522539,-89.4104915,2020-03-21 00:57 EDT
Adams,Illinois,1,1,0,0.0000000,39.9877960,-91.1844843,2020-03-21 00:57 EDT
Christian,Illinois,1,1,0,0.0000000,39.5457761,-89.2772510,2020-03-21 00:57 EDT
Broward,Florida,128,32,1,0.0078125,26.1522454,-80.4870534,2020-03-21 00:57 EDT
Dade,Florida,123,22,0,0.0000000,25.7788537,-80.1799651,2020-03-21 00:57 EDT
Palm Beach,Florida,42,13,0,0.0000000,26.7028800,-80.0366100,2020-03-21 00:57 EDT
Hillsborough,Florida,32,12,0,0.0000000,27.9302310,-82.3078553,2020-03-21 00:57 EDT
Collier,Florida,25,7,0,0.0000000,26.1162556,-81.3401333,2020-03-21 00:57 EDT
Orange,Florida,23,4,2,0.0869565,41.3314100,-74.3566700,2020-03-21 00:57 EDT
Pinellas,Florida,22,6,0,0.0000000,27.9313392,-82.7219403,2020-03-21 00:57 EDT
Duval,Florida,17,2,0,0.0000000,30.4784400,-81.6255700,2020-03-21 00:57 EDT
Alachua,Florida,15,4,0,0.0000000,29.7930900,-82.4942800,2020-03-21 00:57 EDT
Lee,Florida,14,3,1,0.0714286,26.5796516,-81.8246853,2020-03-21 00:57 EDT
Osceola,Florida,13,0,0,0.0000000,28.0681258,-81.1451965,2020-03-21 00:57 EDT
Manatee,Florida,10,1,1,0.1000000,27.4964300,-82.5395400,2020-03-21 00:57 EDT
