County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
Yuba,California,2,2,0,0,0.0000000,39.2691830,-121.3512653,2020/03/22 22:06 EDT
Shasta,California,1,0,0,0,0.0000000,40.5982800,-122.4909500,2020/03/22 22:06 EDT
Nevada,California,1,0,0,0,0.0000000,39.2616000,-121.0161000,2020/03/22 22:06 EDT
Mendocino,California,1,0,0,0,0.0000000,39.4402406,-123.3912784,2020/03/22 22:06 EDT
Amador,California,1,0,0,0,0.0000000,38.4460653,-120.6517550,2020/03/22 22:06 EDT
Mono,California,1,0,0,0,0.0000000,37.9374978,-118.8838882,2020/03/22 22:06 EDT
Cook,Illinois,805,257,4,4,0.0049689,41.8401493,-87.8168232,2020/03/22 22:06 EDT
DuPage,Illinois,79,14,0,0,0.0000000,41.8519405,-88.0856113,2020/03/22 22:06 EDT
Lake,Illinois,69,6,0,0,0.0000000,42.3232765,-88.0035345,2020/03/22 22:06 EDT
Will,Illinois,21,9,1,1,0.0476190,41.4450565,-87.9786523,2020/03/22 22:06 EDT
Kane,Illinois,13,5,0,0,0.0000000,41.9388756,-88.4286393,2020/03/22 22:06 EDT
McHenry,Illinois,12,1,0,0,0.0000000,42.3262100,-88.2673100,2020/03/22 22:06 EDT
McLean,Illinois,6,0,0,0,0.0000000,40.4908761,-88.8473152,2020/03/22 22:06 EDT
Sangamon,Illinois,4,0,1,1,0.2500000,39.7581579,-89.6588874,2020/03/22 22:06 EDT
Winnebago,Illinois,4,0,0,0,0.0000000,42.2656800,-89.2413900,2020/03/22 22:06 EDT
Kendall,Illinois,4,2,0,0,0.0000000,41.5905879,-88.4288057,2020/03/22 22:06 EDT
St. Clair,Illinois,3,0,0,0,0.0000000,38.4699647,-89.9274997,2020/03/22 22:06 EDT
Clinton,Illinois,3,0,0,0,0.0000000,40.1536000,-88.9645000,2020/03/22 22:06 EDT
Peoria,Illinois,3,0,0,0,0.0000000,40.6923600,-89.5879900,2020/03/22 22:06 EDT
Woodford,Illinois,2,0,0,0,0.0000000,40.8443700,-89.0278100,2020/03/22 22:06 EDT
Madison,Illinois,2,0,0,0,0.0000000,38.8300622,-89.9017802,2020/03/22 22:06 EDT
Kankakee,Illinois,2,0,0,0,0.0000000,41.1377142,-87.8618176,2020/03/22 22:06 EDT
Champaign,Illinois,2,-1,0,0,0.0000000,40.1142000,-88.2435000,2020/03/22 22:06 EDT
Cumberland,Illinois,1,0,0,0,0.0000000,39.2733283,-88.2401682,2020/03/22 22:06 EDT
Whiteside,Illinois,1,0,0,0,0.0000000,41.7553349,-89.9123168,2020/03/22 22:06 EDT
Jackson,Illinois,1,0,0,0,0.0000000,37.7854950,-89.3810388,2020/03/22 22:06 EDT
Williamson,Illinois,1,0,0,0,0.0000000,37.7301681,-88.9299091,2020/03/22 22:06 EDT
LaSalle,Illinois,1,0,0,0,0.0000000,41.3440074,-88.8859464,2020/03/22 22:06 EDT
Washington,Illinois,1,0,0,0,0.0000000,38.3522539,-89.4104915,2020/03/22 22:06 EDT
Adams,Illinois,1,0,0,0,0.0000000,39.9877960,-91.1844843,2020/03/22 22:06 EDT
Christian,Illinois,1,0,0,0,0.0000000,39.5457761,-89.2772510,2020/03/22 22:06 EDT
DeKalb,Illinois,1,0,0,0,0.0000000,41.8935567,-88.7702903,2020/03/22 22:06 EDT
Wayne,Michigan,477,376,5,5,0.0104822,42.2851500,-83.3836000,2020/03/22 22:06 EDT
Oakland,Michigan,277,48,2,2,0.0072202,42.7421400,-83.1617400,2020/03/22 22:06 EDT
Macomb,Michigan,140,19,1,1,0.0071429,42.6956500,-82.9217100,2020/03/22 22:06 EDT
Washtenaw,Michigan,35,6,0,0,0.0000000,42.2532294,-83.8387763,2020/03/22 22:06 EDT
Kent,Michigan,22,1,1,1,0.0454545,43.0321620,-85.5492982,2020/03/22 22:06 EDT
Genesee,Michigan,14,7,0,0,0.0000000,43.0217016,-83.7067548,2020/03/22 22:06 EDT
Ingham,Michigan,11,0,0,0,0.0000000,42.5970924,-84.3735342,2020/03/22 22:06 EDT
Livingston,Michigan,8,2,0,0,0.0000000,42.6029182,-83.9115240,2020/03/22 22:06 EDT
St. Clair,Michigan,7,0,0,0,0.0000000,42.8318900,-82.5022100,2020/03/22 22:06 EDT
Monroe,Michigan,6,3,0,0,0.0000000,41.9160600,-83.3979000,2020/03/22 22:06 EDT
Ottawa,Michigan,6,4,0,0,0.0000000,42.9607123,-85.9951657,2020/03/22 22:06 EDT
Midland,Michigan,5,2,0,0,0.0000000,43.6468649,-84.3881103,2020/03/22 22:06 EDT
Berrien,Michigan,3,1,0,0,0.0000000,41.9546870,-86.4122229,2020/03/22 22:06 EDT
Charlevoix,Michigan,2,1,0,0,0.0000000,45.3165300,-85.2607200,2020/03/22 22:06 EDT
Clinton,Michigan,2,0,0,0,0.0000000,42.9436543,-84.6015142,2020/03/22 22:06 EDT
Eaton,Michigan,2,0,0,0,0.0000000,42.5960749,-84.8383207,2020/03/22 22:06 EDT
Out of State,Michigan,2,1,0,0,0.0000000,42.8978860,-86.2110453,2020/03/22 22:06 EDT
Calhoun,Michigan,2,1,0,0,0.0000000,42.2465365,-85.0055836,2020/03/22 22:06 EDT
Saginaw,Michigan,2,1,0,0,0.0000000,43.3350249,-84.0531776,2020/03/22 22:06 EDT
Montcalm,Michigan,1,0,0,0,0.0000000,43.3109547,-85.1525018,2020/03/22 22:06 EDT
Bay,Michigan,1,0,0,0,0.0000000,43.7073289,-83.9920371,2020/03/22 22:06 EDT
Leelanau,Michigan,1,0,0,0,0.0000000,44.9384907,-85.8118234,2020/03/22 22:06 EDT
Otsego,Michigan,1,0,0,0,0.0000000,45.0992000,-84.6482000,2020/03/22 22:06 EDT
Jackson,Michigan,1,0,0,0,0.0000000,42.2484824,-84.4234498,2020/03/22 22:06 EDT
Barry,Michigan,1,0,0,0,0.0000000,42.5950210,-85.3089725,2020/03/22 22:06 EDT
Wexford,Michigan,1,0,0,0,0.0000000,44.3383618,-85.5783822,2020/03/22 22:06 EDT
Clare,Michigan,1,0,0,0,0.0000000,43.9878737,-84.8478310,2020/03/22 22:06 EDT
Allegan,Michigan,1,0,0,0,0.0000000,42.5912512,-85.8881912,2020/03/22 22:06 EDT
Tuscola,Michigan,1,0,0,0,0.0000000,43.4641268,-83.4168226,2020/03/22 22:06 EDT
Gladwin,Michigan,1,1,0,0,0.0000000,43.9906941,-84.3882315,2020/03/22 22:06 EDT
Grand Traverse,Michigan,1,1,0,0,0.0000000,44.6686793,-85.5604762,2020/03/22 22:06 EDT
Miami-Dade,Florida,227,58,0,0,0.0000000,25.6141821,-80.5679083,2020/03/22 22:06 EDT
Broward,Florida,217,53,3,3,0.0138249,26.1522454,-80.4870534,2020/03/22 22:06 EDT
Palm Beach,Florida,72,16,0,0,0.0000000,26.7028800,-80.0366100,2020/03/22 22:06 EDT
Hillsborough,Florida,58,11,0,0,0.0000000,27.9302310,-82.3078553,2020/03/22 22:06 EDT
Duval,Florida,39,14,1,1,0.0256410,30.4784400,-81.6255700,2020/03/22 22:06 EDT
Pinellas,Florida,38,9,0,0,0.0000000,27.9313392,-82.7219403,2020/03/22 22:06 EDT
Alachua,Florida,35,10,0,0,0.0000000,29.7930900,-82.4942800,2020/03/22 22:06 EDT
Collier,Florida,33,5,0,0,0.0000000,26.1162556,-81.3401333,2020/03/22 22:06 EDT
Orange,Florida,33,4,2,2,0.0606061,41.3314100,-74.3566700,2020/03/22 22:06 EDT
Lee,Florida,26,9,2,2,0.0769231,26.5796516,-81.8246853,2020/03/22 22:06 EDT
Osceola,Florida,24,3,0,0,0.0000000,28.0681258,-81.1451965,2020/03/22 22:06 EDT
Seminole,Florida,19,7,0,0,0.0000000,28.7170014,-81.2363226,2020/03/22 22:06 EDT
Sarasota,Florida,17,3,0,0,0.0000000,27.3388900,-82.5388700,2020/03/22 22:06 EDT
St. Johns,Florida,16,7,0,0,0.0000000,30.1205100,-81.6253600,2020/03/22 22:06 EDT
