County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Ascension,Louisiana,30.2054934,-90.9088583,0,0,0,1,1,2,3,12,12,26,26,65,91,90,107,139,153,161,189,201,222
Ashe,North Carolina,36.4341524,-81.5003361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ashland,Ohio,40.8459854,-82.2706822,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,3,4
Ashland,Wisconsin,46.3138658,-90.6780360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Ashley,Arkansas,33.1911758,-91.7684398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Ashtabula,Ohio,41.7074107,-80.7482149,0,0,0,0,0,0,1,1,2,3,3,3,3,5,6,6,6,6,6,8,9
Asotin,Washington,46.1918800,-117.2031186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assumption,Louisiana,29.9008158,-91.0625918,0,0,0,0,0,0,1,1,1,1,1,2,5,8,8,14,17,20,25,31,33
Atascosa,Texas,28.8935349,-98.5271095,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Atchison,Kansas,39.5317856,-95.3143517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Atchison,Missouri,40.4320936,-95.4311022,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Athens,Ohio,39.3336769,-82.0452871,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3
Atlantic,New Jersey,39.4806564,-74.6726431,0,0,0,0,3,3,3,4,5,6,6,12,10,14,17,24,29,31,40,50,72
Atoka,Oklahoma,34.3736134,-96.0378192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Attala,Mississippi,33.0862905,-89.5815528,0,0,0,0,0,0,0,1,1,1,1,4,7,8,9,9,9,10,11,12,14
Audubon,Iowa,41.6846254,-94.9058037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Auglaize,Ohio,40.5609019,-84.2217401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4
Augusta,Virginia,38.1644512,-79.1338961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
Aurora,South Dakota,43.7180322,-98.5615703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Austin,Texas,29.8866955,-96.2774576,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4
Autauga,Alabama,32.5348927,-86.6427090,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,7,7,8,10,12
Avoyelles,Louisiana,31.0762885,-92.0013412,0,0,0,0,0,0,0,1,1,1,1,5,7,10,12,13,14,19,31,34,37
Baca,Colorado,37.3191718,-102.5604577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,9,9
Bacon,Georgia,31.5536723,-82.4526784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,6,6
Baker,Florida,30.3310297,-82.2845975,0,0,0,0,0,0,0,1,2,3,3,5,5,7,7,8,8,9,9,11,11
Baker,Georgia,31.3260941,-84.4444704,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,4,4,4,4
Baldwin,Alabama,30.7358912,-87.7235251,0,1,1,1,1,1,2,2,2,3,3,4,5,5,10,15,18,19,20,25,28
Baldwin,Georgia,33.0689826,-83.2498601,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,5,6,7,11
Baltimore,Maryland,39.2905800,-76.6092600,2,3,4,6,10,12,13,19,28,35,42,51,81,103,141,162,186,227,289,353,427
Baltimore City,Maryland,39.3019413,-76.6111117,0,1,1,2,4,8,11,15,24,31,41,53,72,88,112,129,152,187,221,265,313
Bamberg,South Carolina,33.2147180,-81.0541922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5
Banks,Georgia,34.3541132,-83.4974309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3
Bannock,Idaho,42.6593774,-112.2110229,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,4,4,4,5
Barbour,Alabama,31.8691904,-85.3971820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barbour,West Virginia,39.1328726,-80.0029383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Barnes,North Dakota,46.9361026,-98.0715713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Barnstable,Massachusetts,41.7019400,-70.3044200,0,1,1,2,2,5,9,11,24,30,30,51,67,100,133,148,173,191,191,283,314
Barnwell,South Carolina,33.2660852,-81.4349964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
Barren,Kentucky,36.9655407,-85.9336145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Barron,Wisconsin,45.4236968,-91.8483429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barrow,Georgia,33.9932252,-83.7127253,0,0,0,0,1,1,1,1,2,1,1,2,5,6,7,6,9,19,20,20,22
Barry,Michigan,42.5950210,-85.3089725,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,5
Barry,Missouri,36.7118029,-93.8313736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
