County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Barnstable,Massachusetts,41.7019400,-70.3044200,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
Barren,Kentucky,36.9655407,-85.9336145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrow,Georgia,33.9932252,-83.7127253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Barry,Michigan,42.5950210,-85.3089725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,Missouri,36.7118029,-93.8313736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartholomew,Indiana,39.2059499,-85.8975923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartow,Georgia,34.2376440,-84.8407294,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Bastrop,Texas,30.1036437,-97.3120115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bates,Missouri,38.2572657,-94.3400421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baxter,Arkansas,36.2867750,-92.3362488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,Florida,30.2787415,-85.6154798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,Michigan,43.7073289,-83.9920371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayfield,Wisconsin,46.5235899,-91.2008410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beadle,South Dakota,44.4144846,-98.2781099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear River,Utah,41.4582700,-112.2902300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
