County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
Shiawassee,Michigan,18,1,0,0,0.0%,42.95373744500011,-84.146743014,2020-04-03 21:59 EDT
Midland,Michigan,16,1,0,0,0.0%,43.6468649,-84.38811027,2020-04-03 21:59 EDT
Tuscola,Michigan,15,1,2,2,13.3%,43.46412684,-83.41682258,2020-04-03 21:59 EDT
Van Buren,Michigan,12,0,1,1,8.3%,42.2513072570001,-86.01888992499991,2020-04-03 21:59 EDT
Montcalm,Michigan,12,2,0,0,0.0%,43.31095473,-85.1525018,2020-04-03 21:59 EDT
Grand Traverse,Michigan,11,2,2,2,18.2%,44.66867927,-85.56047625,2020-04-03 21:59 EDT
Sanilac,Michigan,10,2,1,1,10.0%,43.42356616000011,-82.82012594799991,2020-04-03 21:59 EDT
St. Joseph,Michigan,10,2,0,0,0.0%,42.10339000000005,-86.48525999999998,2020-04-03 21:59 EDT
Isabella,Michigan,9,1,2,2,22.2%,43.64058966,-84.84678576,2020-04-03 21:59 EDT
Kalkaska,Michigan,8,1,1,1,12.5%,44.68468247,-85.09024392,2020-04-03 21:59 EDT
Marquette,Michigan,7,2,0,0,0.0%,46.43125285,-87.64159342,2020-04-03 21:59 EDT
Cass,Michigan,6,0,1,1,16.7%,41.915392847000106,-85.993454001,2020-04-03 21:59 EDT
Emmet,Michigan,6,0,2,2,33.3%,45.52025096,-84.89032852,2020-04-03 21:59 EDT
Allegan,Michigan,6,1,0,0,0.0%,42.5912512,-85.88819122,2020-04-03 21:59 EDT
Branch,Michigan,6,1,0,0,0.0%,41.91610928400007,-85.05902759899999,2020-04-03 21:59 EDT
Cheboygan,Michigan,6,3,0,0,0.0%,45.4460469310001,-84.50037714699991,2020-04-03 21:59 EDT
Ionia,Michigan,6,1,0,0,0.0%,42.945088749,-85.0745858019999,2020-04-03 21:59 EDT
Barry,Michigan,5,1,0,0,0.0%,42.59502105,-85.30897251,2020-04-03 21:59 EDT
Charlevoix,Michigan,5,0,0,0,0.0%,45.31653,-85.26071999999998,2020-04-03 21:59 EDT
Delta,Michigan,5,1,0,0,0.0%,45.919666445000075,-86.92448818199995,2020-04-03 21:59 EDT
Gratiot,Michigan,5,0,0,0,0.0%,43.2927163460001,-84.604892691,2020-04-03 21:59 EDT
Mecosta,Michigan,4,1,1,1,25.0%,43.640810722,-85.3246211859999,2020-04-03 21:59 EDT
